ensembl_gene_id,hgnc_symbol,description,gene_biotype,chromosome_name,start_position,end_position
ENSG00000148584,A1CF,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086],protein_coding,10,50799409,50885675
ENSG00000175899,A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],protein_coding,12,9067664,9116229
ENSG00000166535,A2ML1,alpha-2-macroglobulin-like 1 [Source:HGNC Symbol;Acc:HGNC:23336],protein_coding,12,8822472,8887001
ENSG00000128274,A4GALT,"alpha 1,4-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:18149]",protein_coding,22,42692121,42721298
ENSG00000094914,AAAS,"achalasia, adrenocortical insufficiency, alacrimia [Source:HGNC Symbol;Acc:HGNC:13666]",protein_coding,12,53307456,53324864
ENSG00000081760,AACS,acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298],protein_coding,12,125065379,125143333
ENSG00000114771,AADAC,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17],protein_coding,3,151814037,151828488
ENSG00000109576,AADAT,aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929],protein_coding,4,170060222,170091699
ENSG00000158122,AAED1,AhpC/TSA antioxidant enzyme domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16881],protein_coding,9,96639577,96655303
ENSG00000103591,AAGAB,alpha- and gamma-adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],protein_coding,15,67201033,67255195
ENSG00000115977,AAK1,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],protein_coding,2,69457997,69674349
ENSG00000087884,AAMDC,"adipogenesis associated, Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]",protein_coding,11,77821109,77918432
ENSG00000127837,AAMP,"angio-associated, migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]",protein_coding,2,218264123,218270257
ENSG00000129673,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19],protein_coding,17,76453351,76470117
ENSG00000131043,AAR2,AAR2 splicing factor homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:15886],protein_coding,20,36236459,36270918
ENSG00000205002,AARD,alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842],protein_coding,8,116938199,116944487
ENSG00000090861,AARS,alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20],protein_coding,16,70252295,70289543
ENSG00000124608,AARS2,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]",protein_coding,6,44299654,44313326
