"ensembl_gene_id","hgnc_symbol","description","gene_biotype","chromosome_name","start_position","end_position"
"ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding","1",27612064,27635185
"ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","protein_coding","1",24356999,24416934
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","protein_coding","1",24415802,24472976
"ENSG00000004487","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","protein_coding","1",23019443,23083689
"ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]","protein_coding","1",6634168,6701924
"ENSG00000007968","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding","1",23506438,23531233
"ENSG00000008128","CDK11A","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]","protein_coding","1",1702379,1724357
"ENSG00000008130","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","protein_coding","1",1751232,1780457
"ENSG00000009709","PAX7","paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]","protein_coding","1",18630846,18748866
"ENSG00000009724","MASP2","mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]","protein_coding","1",11026523,11047239
"ENSG00000009780","FAM76A","family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]","protein_coding","1",27725961,27763116
"ENSG00000011007","ELOA","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]","protein_coding","1",23743155,23762059
"ENSG00000011009","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]","protein_coding","1",23791145,23795539
"ENSG00000011021","CLCN6","chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]","protein_coding","1",11806096,11848079
"ENSG00000020633","RUNX3","RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]","protein_coding","1",24899511,24965121
"ENSG00000028137","TNFRSF1B","TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]","protein_coding","1",12166991,12209228
"ENSG00000037637","FBXO42","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]","protein_coding","1",16246840,16352480
"ENSG00000040487","SLC66A1","solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]","protein_coding","1",19312326,19329300
"ENSG00000041988","THAP3","THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]","protein_coding","1",6624866,6635586
"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]","protein_coding","1",12230030,12512047
"ENSG00000049239","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]","protein_coding","1",9234774,9271337
"ENSG00000049245","VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]","protein_coding","1",7771296,7781432
"ENSG00000049246","PER3","period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]","protein_coding","1",7784291,7845177
"ENSG00000049247","UTS2","urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]","protein_coding","1",7843083,7853512
"ENSG00000049249","TNFRSF9","TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]","protein_coding","1",7915871,7943165
"ENSG00000053371","AKR7A2","aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]","protein_coding","1",19303965,19312144
"ENSG00000053372","MRTO4","MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]","protein_coding","1",19251805,19260128
"ENSG00000054523","KIF1B","kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]","protein_coding","1",10210570,10381603
"ENSG00000055070","SZRD1","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]","protein_coding","1",16352575,16398145
"ENSG00000057757","PITHD1","PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]","protein_coding","1",23778418,23788232
"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","protein_coding","1",16740273,16972964
"ENSG00000060642","PIGV","phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]","protein_coding","1",26787054,26800659
"ENSG00000060656","PTPRU","protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]","protein_coding","1",29236516,29326813
"ENSG00000065526","SPEN","spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]","protein_coding","1",15836095,15940456
"ENSG00000067606","PRKCZ","protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]","protein_coding","1",2050411,2185395
"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]","protein_coding","1",5990927,6101193
"ENSG00000069812","HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","protein_coding","1",6412418,6424670
